combat,time,round,actor,action,target,damage,actor_PV,target_PV
26,2025-11-10T15:07:27.712,4,Hussin,attack,Jed,4,13,0
27,2025-11-10T15:07:27.712,1,Jed,skill,Hussin,36,100,84
27,2025-11-10T15:07:27.712,1,Hussin,attack,Jed,37,84,63
27,2025-11-10T15:07:27.712,2,Jed,skill,Hussin,38,63,46
27,2025-11-10T15:07:27.712,2,Hussin,attack,Jed,28,46,35
27,2025-11-10T15:07:27.712,3,Jed,attack,Hussin,18,35,28
27,2025-11-10T15:07:27.712,3,Hussin,attack,Jed,32,28,3
27,2025-11-10T15:07:27.712,4,Jed,attack,Hussin,21,3,7
27,2025-11-10T15:07:27.712,4,Hussin,attack,Jed,3,7,0
28,2025-11-10T15:07:27.713,1,Jed,skill,Hussin,35,100,85
28,2025-11-10T15:07:27.713,1,Hussin,skill,Jed,40,85,60
28,2025-11-10T15:07:27.713,2,Jed,skill,Hussin,34,60,51
28,2025-11-10T15:07:27.713,2,Hussin,attack,Jed,32,51,28
28,2025-11-10T15:07:27.713,3,Jed,attack,Hussin,20,28,31
28,2025-11-10T15:07:27.713,3,Hussin,attack,Jed,27,31,1
28,2025-11-10T15:07:27.713,4,Jed,attack,Hussin,15,1,16
28,2025-11-10T15:07:27.713,4,Hussin,skill,Jed,1,16,0
29,2025-11-10T15:07:27.713,1,Jed,skill,Hussin,35,100,85
29,2025-11-10T15:07:27.714,1,Hussin,attack,Jed,48,85,52
29,2025-11-10T15:07:27.714,2,Jed,skill,Hussin,77,52,8
29,2025-11-10T15:07:27.714,2,Hussin,skill,Jed,38,8,14
29,2025-11-10T15:07:27.714,3,Jed,attack,Hussin,8,14,0
30,2025-11-10T15:07:27.714,1,Jed,skill,Hussin,38,100,82
30,2025-11-10T15:07:27.714,1,Hussin,skill,Jed,40,82,60
30,2025-11-10T15:07:27.714,2,Jed,skill,Hussin,31,60,51
30,2025-11-10T15:07:27.714,2,Hussin,skill,Jed,60,51,0
31,2025-11-10T15:07:27.714,1,Jed,skill,Hussin,38,100,82
31,2025-11-10T15:07:27.714,1,Hussin,attack,Jed,30,82,70
31,2025-11-10T15:07:27.714,2,Jed,skill,Hussin,35,70,47
31,2025-11-10T15:07:27.714,2,Hussin,attack,Jed,23,47,47
31,2025-11-10T15:07:27.714,3,Jed,attack,Hussin,12,47,35
31,2025-11-10T15:07:27.714,3,Hussin,attack,Jed,27,35,20
31,2025-11-10T15:07:27.716,4,Jed,attack,Hussin,19,20,16
31,2025-11-10T15:07:27.716,4,Hussin,attack,Jed,20,16,0
32,2025-11-10T15:07:27.716,1,Jed,skill,Hussin,81,100,39
32,2025-11-10T15:07:27.716,1,Hussin,skill,Jed,38,39,62
32,2025-11-10T15:07:27.716,2,Jed,skill,Hussin,39,62,0
33,2025-11-10T15:07:27.716,1,Jed,skill,Hussin,79,100,41
33,2025-11-10T15:07:27.716,1,Hussin,attack,Jed,38,41,62
33,2025-11-10T15:07:27.716,2,Jed,skill,Hussin,34,62,7
33,2025-11-10T15:07:27.716,2,Hussin,attack,Jed,45,7,17
33,2025-11-10T15:07:27.716,3,Jed,attack,Hussin,7,17,0
34,2025-11-10T15:07:27.716,1,Jed,skill,Hussin,37,100,83
34,2025-11-10T15:07:27.716,1,Hussin,attack,Jed,56,83,44
34,2025-11-10T15:07:27.716,2,Jed,skill,Hussin,81,44,2
34,2025-11-10T15:07:27.716,2,Hussin,attack,Jed,44,2,0
35,2025-11-10T15:07:27.716,1,Jed,skill,Hussin,34,100,86
35,2025-11-10T15:07:27.716,1,Hussin,attack,Jed,23,86,77
35,2025-11-10T15:07:27.717,2,Jed,skill,Hussin,36,77,50
35,2025-11-10T15:07:27.717,2,Hussin,attack,Jed,33,50,44
35,2025-11-10T15:07:27.717,3,Jed,attack,Hussin,16,44,34
35,2025-11-10T15:07:27.717,3,Hussin,attack,Jed,31,34,13
35,2025-11-10T15:07:27.717,4,Jed,attack,Hussin,9,13,25
35,2025-11-10T15:07:27.717,4,Hussin,attack,Jed,13,25,0
36,2025-11-10T15:07:27.717,1,Jed,skill,Hussin,37,100,83
36,2025-11-10T15:07:27.717,1,Hussin,attack,Jed,30,83,70
36,2025-11-10T15:07:27.717,2,Jed,skill,Hussin,73,70,10
36,2025-11-10T15:07:27.717,2,Hussin,skill,Jed,34,10,36
36,2025-11-10T15:07:27.717,3,Jed,attack,Hussin,10,36,0
37,2025-11-10T15:07:27.717,1,Jed,skill,Hussin,68,100,52
37,2025-11-10T15:07:27.717,1,Hussin,attack,Jed,22,52,78
